node_id,paper_ref,direct_predecessors,legacy_files,legacy_declarations,normalized_input,normalized_outcomes,observed_legacy_ct_ids,required_features,new_file,parity_module,legacy_kernel,new_kernel,parity_status,math_status,work_status,web_evidence,status,blocker
1,original_erdos_64_proof.tex node 1,,examples/erdos_64_eg/Erdos64EG/Node1.lean,,root,finite simple graph G,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node1.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node1.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
2,original_erdos_64_proof.tex node 2,1,examples/erdos_64_eg/Erdos64EG/Node2.lean,,node 1 residual,counterexample decision,,core.decision,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node2.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node2.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
3,original_erdos_64_proof.tex node 3,2,examples/erdos_64_eg/Erdos64EG/Node3.lean,,node 2 residual,not a counterexample terminal,,core.closure,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node3.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node3.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
4,original_erdos_64_proof.tex node 4,2,examples/erdos_64_eg/Erdos64EG/Node4.lean,,node 2 residual,lexicographically minimal counterexample,,core.focus-selection-work|core.progress|graph.progress,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node4.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node4.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
5,original_erdos_64_proof.tex node 5,4,examples/erdos_64_eg/Erdos64EG/Node5.lean,,node 4 residual,edge-rooted target algebra,,core.focus-selection-work|graph.rooted-return,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node5.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node5.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
6,original_erdos_64_proof.tex node 6,5,examples/erdos_64_eg/Erdos64EG/Node6.lean,,node 5 residual,Mersenne return decision,CT1,core.focus-selection-work|ct.ct1|graph.ct1|graph.rooted-return,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node6.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node6.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
7,original_erdos_64_proof.tex node 7,6,examples/erdos_64_eg/Erdos64EG/Node7.lean,,node 6 residual,power-of-two cycle terminal,,core.closure|ct.ct1|graph.ct1|graph.rooted-return,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node7.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node7.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
8,original_erdos_64_proof.tex node 8,6,examples/erdos_64_eg/Erdos64EG/Node8.lean,,node 6 residual,no proper minimum-degree-three subgraph,CT1,core.focus-selection-work|core.progress|graph.proper-subgraph-minimality,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node8.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node8.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
9,original_erdos_64_proof.tex node 9,8,examples/erdos_64_eg/Erdos64EG/Node9.lean,,node 8 residual,edge-deletion criticality,,core.focus-selection-work|graph.deletion-criticality,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node9.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node9.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
10,original_erdos_64_proof.tex node 10,9,examples/erdos_64_eg/Erdos64EG/Node10.lean,,node 9 residual,high-degree vertices independent,,core.focus-selection-work|graph.deletion-criticality,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node10.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node10.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
11,original_erdos_64_proof.tex node 11,10,examples/erdos_64_eg/Erdos64EG/Node11.lean,,node 10 residual,boundaried atoms and degree profile,,graph.boundaried-atom-profile,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node11.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node11.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
12,original_erdos_64_proof.tex node 12,11,examples/erdos_64_eg/Erdos64EG/Node12.lean,,node 11 residual,context-universal target-complete identifications,,core.proof-projection|graph.atom-response-coordinates|graph.boundaried-atom-profile,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node12.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node12.lean,fresh,fresh,not_run,closed,captured,generated/hypostructure/web/snapshot.json,typechecked,semantic parity baseline not frozen
13,original_erdos_64_proof.tex node 13,12,examples/erdos_64_eg/Erdos64EG/Node13.lean,,node 12 residual,boundaried replacement,,core.proof-projection|graph.boundary-overlap|graph.atom-replacement,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node13.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node13.lean,fresh,fresh,checked,closed,captured,generated/hypostructure/web/snapshot.json,migrated_closed,
14,original_erdos_64_proof.tex node 14,13,examples/erdos_64_eg/Erdos64EG/Node14.lean,,node 13 residual,hereditary target-uncompressibility,,core.proof-projection|graph.atom-replacement|graph.atom-response-coordinates,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node14.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node14.lean,fresh,fresh,checked,closed,captured,generated/hypostructure/web/snapshot.json,migrated_closed,
15,original_erdos_64_proof.tex node 15,14,examples/erdos_64_eg/Erdos64EG/Node15.lean,,node 14 residual,P13-free decision,CT1,ct.ct1|graph.obstruction,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node15.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node15.lean,fresh,fresh,checked,closed,captured,generated/hypostructure/web/snapshot.json,migrated_closed,
16,original_erdos_64_proof.tex node 16,15,examples/erdos_64_eg/Erdos64EG/Node16.lean,,node 15 residual,HSS target-cycle terminal,,ct.ct1,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node16.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node16.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
17,original_erdos_64_proof.tex node 17,15,examples/erdos_64_eg/Erdos64EG/Node17.lean,,node 15 residual,maximal disjoint induced-P13 packing,,ct.ct12,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node17.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node17.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
18,original_erdos_64_proof.tex node 18,17,examples/erdos_64_eg/Erdos64EG/Node18.lean,,node 17 residual,P13 label and curvature algebra,,ct.ct10,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node18.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node18.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
19,original_erdos_64_proof.tex node 19,18,examples/erdos_64_eg/Erdos64EG/Node19.lean,,node 18 residual,near-cubic surplus decision,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node19.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node19.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
20,original_erdos_64_proof.tex node 20,19,examples/erdos_64_eg/Erdos64EG/Node20.lean,,node 19 residual,surplus-pair accounting branch,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node20.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node20.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
21,original_erdos_64_proof.tex node 21,19,examples/erdos_64_eg/Erdos64EG/Node21.lean,,node 19 residual,finite curvature enumeration,,ct.ct10,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node21.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node21.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
22,original_erdos_64_proof.tex node 22,21,examples/erdos_64_eg/Erdos64EG/Node22.lean,,node 21 residual,P13 packing-density decision,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node22.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node22.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
23,original_erdos_64_proof.tex node 23,22,examples/erdos_64_eg/Erdos64EG/Node23.lean,,node 22 residual,P13 window entropy overflow terminal,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node23.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node23.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
24,original_erdos_64_proof.tex node 24,22,examples/erdos_64_eg/Erdos64EG/Node24.lean,,node 22 residual,window-density cap,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node24.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node24.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
25,original_erdos_64_proof.tex node 25,24,examples/erdos_64_eg/Erdos64EG/Node25.lean,,node 24 residual,large componentwise P13-free remainder,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node25.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node25.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
26,original_erdos_64_proof.tex node 26,25,examples/erdos_64_eg/Erdos64EG/Node26.lean,,node 25 residual,Residual A continuation,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node26.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node26.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
27,original_erdos_64_proof.tex node 27,26,examples/erdos_64_eg/Erdos64EG/Node27.lean,,node 26 residual,no internal three-core,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node27.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node27.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
28,original_erdos_64_proof.tex node 28,27,examples/erdos_64_eg/Erdos64EG/Node28.lean,,node 27 residual,positive deficiency,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node28.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node28.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
29,original_erdos_64_proof.tex node 29,28,examples/erdos_64_eg/Erdos64EG/Node29.lean,,node 28 residual,external-incidence supply,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node29.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node29.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
30,original_erdos_64_proof.tex node 30,29,examples/erdos_64_eg/Erdos64EG/Node30.lean,,node 29 residual,wedge lower bound,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node30.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node30.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
31,original_erdos_64_proof.tex node 31,30,examples/erdos_64_eg/Erdos64EG/Node31.lean,,node 30 residual,curvature target rank,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node31.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node31.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
32,original_erdos_64_proof.tex node 32,31,examples/erdos_64_eg/Erdos64EG/Node32.lean,,node 31 residual,rank-drop decision,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node32.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node32.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
33,original_erdos_64_proof.tex node 33,32,examples/erdos_64_eg/Erdos64EG/Node33.lean,,node 32 residual,rank-reducing dependence branch,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node33.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node33.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
34,original_erdos_64_proof.tex node 34,32,examples/erdos_64_eg/Erdos64EG/Node34.lean,,node 32 residual,full-curvature-rank branch,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node34.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node34.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
35,original_erdos_64_proof.tex node 35,33,examples/erdos_64_eg/Erdos64EG/Node35.lean,,node 33 residual,rank-reducing dependence continuation,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node35.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node35.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
36,original_erdos_64_proof.tex node 36,35,examples/erdos_64_eg/Erdos64EG/Node36.lean,,node 35 residual,outside-context validity decision,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node36.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node36.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
37,original_erdos_64_proof.tex node 37,36,examples/erdos_64_eg/Erdos64EG/Node37.lean,,node 36 residual,target-defective quotient terminal,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node37.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node37.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
38,original_erdos_64_proof.tex node 38,36,examples/erdos_64_eg/Erdos64EG/Node38.lean,,node 36 residual,proper-representative decision,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node38.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node38.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
39,original_erdos_64_proof.tex node 39,38,examples/erdos_64_eg/Erdos64EG/Node39.lean,,node 38 residual,proper atom compression terminal,,ct.ct3,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node39.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node39.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
40,original_erdos_64_proof.tex node 40,38,examples/erdos_64_eg/Erdos64EG/Node40.lean,,node 38 residual,enlarged connected support,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node40.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node40.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
41,original_erdos_64_proof.tex node 41,40,examples/erdos_64_eg/Erdos64EG/Node41.lean,,node 40 residual,proper-or-whole support decision,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node41.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node41.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
42,original_erdos_64_proof.tex node 42,41,examples/erdos_64_eg/Erdos64EG/Node42.lean,,node 41 residual,proper-support smearing terminal,,ct.ct3,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node42.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node42.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
43,original_erdos_64_proof.tex node 43,41,examples/erdos_64_eg/Erdos64EG/Node43.lean,,node 41 residual,whole-graph delocalization,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node43.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node43.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
44,original_erdos_64_proof.tex node 44,43,examples/erdos_64_eg/Erdos64EG/Node44.lean,,node 43 residual,one-three repair identity,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node44.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node44.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
45,original_erdos_64_proof.tex node 45,44,examples/erdos_64_eg/Erdos64EG/Node45.lean,,node 44 residual,global target-replacement barrier,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node45.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node45.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
46,original_erdos_64_proof.tex node 46,45,examples/erdos_64_eg/Erdos64EG/Node46.lean,,node 45 residual,rank-drop branch closure,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node46.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node46.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
47,original_erdos_64_proof.tex node 47,34,examples/erdos_64_eg/Erdos64EG/Node47.lean,,node 34 residual,full-rank cross-panel continuation,,ct.ct15,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node47.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node47.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
48,original_erdos_64_proof.tex node 48,47,examples/erdos_64_eg/Erdos64EG/Node48.lean,,node 47 residual,forced curvature cost,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node48.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node48.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
49,original_erdos_64_proof.tex node 49,48,examples/erdos_64_eg/Erdos64EG/Node49.lean,,node 48 residual,per-vertex remainder entropy,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node49.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node49.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
50,original_erdos_64_proof.tex node 50,49,examples/erdos_64_eg/Erdos64EG/Node50.lean,,node 49 residual,entropy-scale decision,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node50.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node50.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
51,original_erdos_64_proof.tex node 51,50,examples/erdos_64_eg/Erdos64EG/Node51.lean,,node 50 residual,high-entropy remainder branch,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node51.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node51.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
52,original_erdos_64_proof.tex node 52,51,examples/erdos_64_eg/Erdos64EG/Node52.lean,,node 51 residual,window and remainder accounting,,,examples/hypostructure_erdos_64_eg/HypostructureErdos64EG/Node52.lean,examples/hypostructure_parity/HypostructureParity/Erdos64EG/Node52.lean,fresh,missing,not_run,not_assessed,not_captured,generated/examples/erdos-64.json,inventoried,clean baseline not frozen
